一夕之间;"/i˥˩ ɕi˥˥ ʈʂɚ˥˥ tɕjɛn˥˥;0
一夜情;/i˧˥ jɛ˥˩ tɕʰɪŋ˧˥/;0
一夜走红;/i˧˥ jɛ˥˩ tsoʊ˨˩˦ xʊŋ˧˥/;0
一大堆;/i˧˥ ta˥˩ tweɪ˥˥/;0
一夫当关，万夫莫开;/i˥˩ fu˥˥ tɑŋ˥˥ kwan˥˥ wan˥˩ fu˥˥ mɔ˥˩ kʰaɪ˥˥/;0
一如既往;/i˥˩ ʐu˧˥ tɕi˥˩ wɑŋ˨˩˦/;0
一定;/i˧˥ tɪŋ˥˩/;0
一家之主;/i˥˩ tɕja˥˥ ʈʂɚ˥˥ ʈʂu˨˩˦/;0
一家之长;/i˥˩ tɕja˥˥ ʈʂɚ˥˥ ʈʂɑŋ˨˩˦/;0
一宿;/i˥˩ ɕjoʊ˨˩˦/;0
一尘不染;/i˥˩ ʈʂʰən˧˥ pu˥˩ ʐan˨˩˦/;0
一帆风顺;"/i˥˩ fan˥˥ fɤŋ˥˥ ʂuən˥˩;0
一幕;/i˧˥ mu˥˩/;0
一年半载;/i˥˩ njɛn˧˥ pan˥˩ tsaɪ˨˩˦/;0
一年级;/i˥˩ njɛn˧˥ tɕi˧˥/;0
一心一意;/i˥˩ ɕɪn˥˥ i˧˥ i˥˩/;0
一心向往;/i˥˩ ɕɪn˥˥ ɕjɑŋ˥˩ wɑŋ˨˩˦/;0
一念之间;/i˧˥ njɛn˥˩ ʈʂɚ˥˥ tɕjɛn˥˥/;0
一怒之下;/i˧˥ nu˥˩ ʈʂɚ˥˥ ɕja˥˩/;0
一怔;"/i˧˥ ʈʂɤŋ˥˩;0
一意孤行;/i˧˥ i˥˩ ku˥˥ ɕɪŋ˧˥/;0
一成;/i˥˩ ʈʂʰɤŋ˧˥/;0
一成不变;/i˥˩ ʈʂʰɤŋ˧˥ pu˧˥ pjɛn˥˩/;0
一打;/i˥˩ ta˧˥/;0
一技之长;/i˧˥ tɕi˥˩ ʈʂɚ˥˥ ʈʂʰɑŋ˧˥/;0
一抔黄沙;/i˥˩ pʰoʊ˧˥ xwɑŋ˧˥ ʂa˥˥/;0
一推六二五;/i˥˩ tʰweɪ˥˥ ljoʊ˥˩ aɻ˥˩ u˨˩˦/;0
一文不值;/i˥˩ uən˧˥ pu˥˩ ʈʂɚ˧˥/;0
一方面;/i˥˩ fɑŋ˥˥ mjɛn˥˩/;0
一无可取;/i˥˩ u˧˥ kʰɤ˨˩˦ tɕʰy˨˩˦/;0
一无所得;/i˥˩ u˧˥ suɔ˨˩˦ tɤ˧˥/;0
一无所有;/i˥˩ u˧˥ suɔ˨˩˦ joʊ˨˩˦/;0
一无所知;/i˥˩ u˧˥ suɔ˨˩˦ ʈʂɚ˥˥/;0
一无是处;/i˥˩ u˧˥ ʂɚ˥˩ ʈʂʰu˥˩/;0
一日三秋;/i˧˥ ʐɚ˥˩ san˥˥ tɕʰjoʊ˥˥/;0
一旦;/i˧˥ tan˥˩/;0
一时得逞;/i˥˩ ʂɚ˧˥ tɤ˧˥ ʈʂʰɤŋ˨˩˦/;0
一时疏忽;/i˥˩ ʂɚ˧˥ ʂu˥˥ xu˥˥/;0
一曝十寒;/i˧˥ pʰu˥˩ ʂɚ˧˥ xan˧˥/;0
一月;/i˧˥ ɥœ˥˩/;0
一望无垠;/i˧˥ wɑŋ˥˩ u˧˥ ɪn˧˥/;0
一望无涯;/i˧˥ wɑŋ˥˩ u˧˥ ja˧˥/;0
一望无际;/i˧˥ wɑŋ˥˩ u˧˥ tɕi˥˩/;0
一朝天子一朝臣;/i˥˩ ʈʂʰɑʊ˧˥ tʰjɛn˥˥ tsɯ˨˩˦ i˥˩ ʈʂʰɑʊ˧˥ ʈʂʰən˧˥/;0
一朝被蛇咬，十年怕井绳;/i˥˩ ʈʂɑʊ˥˥ peɪ˥˩ ʂɤ˧˥ jɑʊ˨˩˦ ʂɚ˧˥ njɛn˧˥ pʰa˥˩ tɕɪŋ˨˩˦ ʂɤŋ˧˥/;0
一本正经;/i˥˩ pən˨˩˦ ʈʂɤŋ˥˩ tɕɪŋ˥˥/;0
一样;/i˧˥ jɑŋ˥˩/;0
一模一样;"/i˥˩ mu˧˥ i˧˥ jɑŋ˥˩;0
一次性;/i˧˥ tsʰɯ˥˩ ɕɪŋ˥˩/;0
一步一步;/i˧˥ pu˥˩ i˧˥ pu˥˩/;0
一步步;/i˧˥ pu˥˩ pu˥˩/;0
一步步地;/i˧˥ pu˥˩ pu˥˩ tɤ˧/;0
一毛不拔;/i˥˩ mɑʊ˧˥ pu˥˩ pa˧˥/;0
一气之下;/i˧˥ tɕʰi˥˩ ʈʂɚ˥˥ ɕja˥˩/;0
一氧化碳;/i˥˩ jɑŋ˨˩˦ xwa˥˩ tʰan˥˩/;0
一沓纸;/i˥˩ ta˧˥ ʈʂɚ˨˩˦/;0
